#,BOROUGH,BLOCK,NEIGHBORHOOD,BUILDING CLASS CATEGORY,RESIDENTIAL UNITS,COMMERCIAL UNITS,TOTAL UNITS,LAND SQUARE FEET,GROSS SQUARE FEET,YEAR BUILT,BUILDING CLASS AT TIME OF SALE,TAX CLASS AT TIME OF SALE,SALE PRICE
23871,4,12667,SPRINGFIELD GARDENS,02 TWO FAMILY DWELLINGS                    ,2,0,2,4400,1575,1930,B3,1,250000
18804,4,12679,SPRINGFIELD GARDENS,02 TWO FAMILY DWELLINGS                    ,2,0,2,3100,1840,1930,B3,1,325000
354,4,12701,SPRINGFIELD GARDENS,02 TWO FAMILY DWELLINGS                    ,2,0,2,1000,2068,1930,B3,1,550000
19987,4,12703,SPRINGFIELD GARDENS,02 TWO FAMILY DWELLINGS                    ,2,0,2,3500,1440,1930,B3,1,889800
20170,4,12705,SPRINGFIELD GARDENS,02 TWO FAMILY DWELLINGS                    ,2,0,2,3570,1047,1930,B3,1,453000
23442,4,12727,SPRINGFIELD GARDENS,02 TWO FAMILY DWELLINGS                    ,2,0,2,4180,1581,1930,B3,1,385000
22342,4,12739,CAMBRIA HEIGHTS,02 TWO FAMILY DWELLINGS                    ,2,0,2,4000,1920,1930,B3,1,300000
20449,4,12893,LAURELTON,02 TWO FAMILY DWELLINGS                    ,2,0,2,3700,1676,1930,B3,1,485000
16706,4,13022,SPRINGFIELD GARDENS,02 TWO FAMILY DWELLINGS                    ,2,0,2,2760,1440,1930,B3,1,379236
18538,4,13049,SPRINGFIELD GARDENS,02 TWO FAMILY DWELLINGS                    ,2,0,2,3013,1566,1930,B3,1,440000
20005,4,13052,SPRINGFIELD GARDENS,02 TWO FAMILY DWELLINGS                    ,2,0,2,3500,1771,1930,B3,1,465000
20794,4,13055,SPRINGFIELD GARDENS,02 TWO FAMILY DWELLINGS                    ,2,0,2,3800,2256,1930,B3,1,611800
26900,4,13069,LAURELTON,02 TWO FAMILY DWELLINGS                    ,2,0,2,7150,1025,1930,B3,1,825000
24377,4,13075,SPRINGFIELD GARDENS,02 TWO FAMILY DWELLINGS                    ,2,0,2,4704,1834,1930,B3,1,360000
25065,4,13109,LAURELTON,02 TWO FAMILY DWELLINGS                    ,2,0,2,5000,1920,1930,B3,1,535600
24924,4,13114,LAURELTON,02 TWO FAMILY DWELLINGS                    ,2,0,2,5000,1368,1930,B3,1,219000
26232,4,13122,LAURELTON,02 TWO FAMILY DWELLINGS                    ,2,0,2,6000,1568,1930,B3,1,509600
25546,4,13129,LAURELTON,02 TWO FAMILY DWELLINGS                    ,2,0,2,5160,3124,1930,B3,1,490000
19152,4,13157,LAURELTON,02 TWO FAMILY DWELLINGS                    ,2,0,2,3200,1416,1930,B3,1,595000
19143,4,13158,LAURELTON,02 TWO FAMILY DWELLINGS                    ,2,0,2,3200,1344,1930,B3,1,455000
19135,4,13166,LAURELTON,02 TWO FAMILY DWELLINGS                    ,2,0,2,3200,1316,1930,B3,1,745000
19136,4,13166,LAURELTON,02 TWO FAMILY DWELLINGS                    ,2,0,2,3200,1316,1930,B3,1,225000
18970,4,13167,LAURELTON,02 TWO FAMILY DWELLINGS                    ,2,0,2,3142,1283,1930,B3,1,578000
18982,4,13180,LAURELTON,02 TWO FAMILY DWELLINGS                    ,2,0,2,3142,1344,1930,B3,1,519000
18971,4,13200,LAURELTON,02 TWO FAMILY DWELLINGS                    ,2,0,2,3142,1304,1930,B3,1,660000
18972,4,13200,LAURELTON,02 TWO FAMILY DWELLINGS                    ,2,0,2,3142,1304,1930,B3,1,331000
9829,4,13243,ROSEDALE,02 TWO FAMILY DWELLINGS                    ,2,0,2,2154,2000,1930,B3,1,340000
25947,4,13252,ROSEDALE,02 TWO FAMILY DWELLINGS                    ,2,0,2,5655,2634,1930,B3,1,835000
18135,4,13551,ROSEDALE,02 TWO FAMILY DWELLINGS                    ,2,0,2,3000,1672,1930,B3,1,515000
22086,4,13553,ROSEDALE,02 TWO FAMILY DWELLINGS                    ,2,0,2,4000,1624,1930,B3,1,290000
21970,4,13559,ROSEDALE,02 TWO FAMILY DWELLINGS                    ,2,0,2,4000,1505,1930,B3,1,680000
21971,4,13559,ROSEDALE,02 TWO FAMILY DWELLINGS                    ,2,0,2,4000,1505,1930,B3,1,360000
27188,4,13627,ROSEDALE,02 TWO FAMILY DWELLINGS                    ,2,0,2,7746,1424,1930,B3,1,380000
21869,4,13705,ROSEDALE,02 TWO FAMILY DWELLINGS                    ,2,0,2,4000,1410,1930,B3,1,755000
23799,4,13729,ROSEDALE,02 TWO FAMILY DWELLINGS                    ,2,0,2,4360,2200,1930,B3,1,639000
20659,4,13737,ROSEDALE,02 TWO FAMILY DWELLINGS                    ,2,0,2,3780,2359,1930,B3,1,595000
22096,4,14143,HOWARD BEACH,02 TWO FAMILY DWELLINGS                    ,2,0,2,4000,1638,1930,B3,1,485000
23800,4,14147,HOWARD BEACH,02 TWO FAMILY DWELLINGS                    ,2,0,2,4360,2257,1930,B3,1,420000
21826,4,14199,HOWARD BEACH,02 TWO FAMILY DWELLINGS                    ,2,0,2,4000,1366,1930,B3,1,460000
26446,4,15503,FAR ROCKAWAY,02 TWO FAMILY DWELLINGS                    ,2,0,2,6056,2155,1930,B3,1,700000
23862,4,15652,FAR ROCKAWAY,02 TWO FAMILY DWELLINGS                    ,2,0,2,4400,1419,1930,B3,1,315000
19005,4,15662,FAR ROCKAWAY,02 TWO FAMILY DWELLINGS                    ,2,0,2,3149,1880,1930,B3,1,371000
17482,4,15706,FAR ROCKAWAY,02 TWO FAMILY DWELLINGS                    ,2,0,2,2909,1596,1930,B3,1,106470
19611,4,15796,FAR ROCKAWAY,02 TWO FAMILY DWELLINGS                    ,2,0,2,3347,1340,1930,B3,1,359974
19616,4,15800,FAR ROCKAWAY,02 TWO FAMILY DWELLINGS                    ,2,0,2,3349,2033,1930,B3,1,539000
18141,4,16064,ARVERNE,02 TWO FAMILY DWELLINGS                    ,2,0,2,3000,1680,1930,B3,1,75000
17813,4,16066,ARVERNE,02 TWO FAMILY DWELLINGS                    ,2,0,2,3000,1068,1930,B3,1,335000
26285,4,16256,BELLE HARBOR,02 TWO FAMILY DWELLINGS                    ,2,0,2,6000,2034,1930,B3,1,840000
18016,4,16268,BELLE HARBOR,02 TWO FAMILY DWELLINGS                    ,2,0,2,3000,1479,1930,B3,1,852000
26268,4,16273,BELLE HARBOR,02 TWO FAMILY DWELLINGS                    ,2,0,2,6000,1928,1930,B3,1,915000
1948,3,260,BROOKLYN HEIGHTS,02 TWO FAMILY DWELLINGS                    ,2,0,2,1575,1838,1930,B9,1,3050000
2753,3,681,SUNSET PARK,02 TWO FAMILY DWELLINGS                    ,2,0,2,1669,960,1930,B9,1,979000
8545,3,732,SUNSET PARK,02 TWO FAMILY DWELLINGS                    ,2,0,2,2003,2280,1930,B9,1,1290000
8542,3,798,SUNSET PARK,02 TWO FAMILY DWELLINGS                    ,2,0,2,2003,2212,1930,B9,1,900000
17770,4,2698,MASPETH,02 TWO FAMILY DWELLINGS                    ,2,0,2,3000,789,1930,B9,1,620000
16515,3,3171,BUSHWICK,02 TWO FAMILY DWELLINGS                    ,2,0,2,2727,2289,1930,B9,1,1470000
25251,4,4200,COLLEGE POINT,02 TWO FAMILY DWELLINGS                    ,2,0,2,5000,3104,1930,B9,1,1070000
7351,3,4497,EAST NEW YORK,02 TWO FAMILY DWELLINGS                    ,2,0,2,2000,1900,1930,B9,1,350000
9083,2,4740,BAYCHESTER,02 TWO FAMILY DWELLINGS                    ,2,0,2,2056,2195,1930,B9,1,215000
1949,3,4935,FLATBUSH-EAST,02 TWO FAMILY DWELLINGS                    ,2,0,2,1575,1845,1930,B9,1,530000
1588,3,6996,CONEY ISLAND,02 TWO FAMILY DWELLINGS                    ,2,0,2,1500,1950,1930,B9,1,385000
26293,3,7027,SEAGATE,02 TWO FAMILY DWELLINGS                    ,2,0,2,6000,2080,1930,B9,1,700000
4213,3,7700,MARINE PARK,02 TWO FAMILY DWELLINGS                    ,2,0,2,1800,2214,1930,B9,1,910000
14842,4,9095,OZONE PARK,02 TWO FAMILY DWELLINGS                    ,2,0,2,2502,2156,1930,B9,1,755000
13604,4,9096,OZONE PARK,02 TWO FAMILY DWELLINGS                    ,2,0,2,2500,1652,1930,B9,1,700000
11211,4,199,SUNNYSIDE,03 THREE FAMILY DWELLINGS                  ,3,0,3,2317,2090,1930,C0,1,400000
7819,4,340,LONG ISLAND CITY,03 THREE FAMILY DWELLINGS                  ,3,0,3,2000,2428,1930,C0,1,1325000
9526,4,532,ASTORIA,03 THREE FAMILY DWELLINGS                  ,3,0,3,2106,2000,1930,C0,1,1150000
15345,4,650,ASTORIA,03 THREE FAMILY DWELLINGS                  ,3,0,3,2558,2480,1930,C0,1,1360000
5722,4,708,ASTORIA,03 THREE FAMILY DWELLINGS                  ,3,0,3,1950,2508,1930,C0,1,1280000
10556,4,722,ASTORIA,03 THREE FAMILY DWELLINGS                  ,3,0,3,2242,2664,1930,C0,1,1300000
7687,4,808,ASTORIA,03 THREE FAMILY DWELLINGS                  ,3,0,3,2000,2237,1930,C0,1,1270000
8052,4,820,ASTORIA,03 THREE FAMILY DWELLINGS                  ,3,0,3,2000,2970,1930,C0,1,1850000
12126,4,876,ASTORIA,03 THREE FAMILY DWELLINGS                  ,3,0,3,2400,2600,1930,C0,1,410000
14223,4,900,ASTORIA,03 THREE FAMILY DWELLINGS                  ,3,0,3,2500,2480,1930,C0,1,1150000
18996,5,1170,MARINERS HARBOR,03 THREE FAMILY DWELLINGS                  ,3,0,3,3144,1216,1930,C0,1,380000
5337,3,1234,CROWN HEIGHTS,03 THREE FAMILY DWELLINGS                  ,3,0,3,1901,3695,1930,C0,1,2500000
3506,4,1340,WOODSIDE,03 THREE FAMILY DWELLINGS                  ,3,0,3,1780,2160,1930,C0,1,995000
5614,4,1399,JACKSON HEIGHTS,03 THREE FAMILY DWELLINGS                  ,3,0,3,1942,2132,1930,C0,1,800000
7606,4,1519,ELMHURST,03 THREE FAMILY DWELLINGS                  ,3,0,3,2000,2136,1930,C0,1,999900
14948,4,1879,CORONA,03 THREE FAMILY DWELLINGS                  ,3,0,3,2512,2120,1930,C0,1,980000
11265,4,1983,CORONA,03 THREE FAMILY DWELLINGS                  ,3,0,3,2325,2376,1930,C0,1,1100000
14768,3,2100,FORT GREENE,03 THREE FAMILY DWELLINGS                  ,3,0,3,2500,6250,1930,C0,1,4541500
1441,3,2104,FORT GREENE,03 THREE FAMILY DWELLINGS                  ,3,0,3,1467,3720,1930,C0,1,2650000
14355,3,2483,GREENPOINT,03 THREE FAMILY DWELLINGS                  ,3,0,3,2500,2850,1930,C0,1,2100000
14488,4,2708,MASPETH,03 THREE FAMILY DWELLINGS                  ,3,0,3,2500,3276,1930,C0,1,897750
14489,4,2708,MASPETH,03 THREE FAMILY DWELLINGS                  ,3,0,3,2500,3276,1930,C0,1,1211196
14071,2,2762,HUNTS POINT,03 THREE FAMILY DWELLINGS                  ,3,0,3,2500,2200,1930,C0,1,430000
7549,4,2762,MASPETH,03 THREE FAMILY DWELLINGS                  ,3,0,3,2000,2080,1930,C0,1,769000
14640,2,2765,HUNTS POINT,03 THREE FAMILY DWELLINGS                  ,3,0,3,2500,4032,1930,C0,1,750000
19555,2,2796,MOUNT HOPE/MOUNT EDEN,03 THREE FAMILY DWELLINGS                  ,3,0,3,3332,2640,1930,C0,1,740000
8329,2,2828,MOUNT HOPE/MOUNT EDEN,03 THREE FAMILY DWELLINGS                  ,3,0,3,2000,3600,1930,C0,1,395000
18924,2,2852,MOUNT HOPE/MOUNT EDEN,03 THREE FAMILY DWELLINGS                  ,3,0,3,3125,3399,1930,C0,1,10000
23966,2,3249,KINGSBRIDGE/JEROME PARK,03 THREE FAMILY DWELLINGS                  ,3,0,3,4473,4200,1930,C0,1,460000
26466,2,3283,BEDFORD PARK/NORWOOD,03 THREE FAMILY DWELLINGS                  ,3,0,3,6102,5220,1930,C0,1,630000
26467,2,3283,BEDFORD PARK/NORWOOD,03 THREE FAMILY DWELLINGS                  ,3,0,3,6102,5220,1930,C0,1,300000
2526,2,3322,BEDFORD PARK/NORWOOD,03 THREE FAMILY DWELLINGS                  ,3,0,3,1650,2400,1930,C0,1,125000
2527,2,3322,BEDFORD PARK/NORWOOD,03 THREE FAMILY DWELLINGS                  ,3,0,3,1650,2400,1930,C0,1,645000
2528,2,3322,BEDFORD PARK/NORWOOD,03 THREE FAMILY DWELLINGS                  ,3,0,3,1650,2400,1930,C0,1,320000
2529,2,3322,BEDFORD PARK/NORWOOD,03 THREE FAMILY DWELLINGS                  ,3,0,3,1650,2400,1930,C0,1,365653
9914,2,3322,BEDFORD PARK/NORWOOD,03 THREE FAMILY DWELLINGS                  ,3,0,3,2167,2772,1930,C0,1,600000
2530,2,3322,BEDFORD PARK/NORWOOD,03 THREE FAMILY DWELLINGS                  ,3,0,3,1650,2400,1930,C0,1,630000
15205,4,3425,RIDGEWOOD,03 THREE FAMILY DWELLINGS                  ,3,0,3,2544,2480,1930,C0,1,1633000
15206,4,3425,RIDGEWOOD,03 THREE FAMILY DWELLINGS                  ,3,0,3,2544,2480,1930,C0,1,1380000
8607,3,3583,BROWNSVILLE,03 THREE FAMILY DWELLINGS                  ,3,0,3,2003,3360,1930,C0,1,580000
16254,2,3611,CASTLE HILL/UNIONPORT,03 THREE FAMILY DWELLINGS                  ,3,0,3,2693,3600,1930,C0,1,585000
15517,2,3611,CASTLE HILL/UNIONPORT,03 THREE FAMILY DWELLINGS                  ,3,0,3,2588,3600,1930,C0,1,498000
15518,2,3611,CASTLE HILL/UNIONPORT,03 THREE FAMILY DWELLINGS                  ,3,0,3,2588,3600,1930,C0,1,346500
15519,2,3611,CASTLE HILL/UNIONPORT,03 THREE FAMILY DWELLINGS                  ,3,0,3,2588,3600,1930,C0,1,655000
14492,3,3638,BROWNSVILLE,03 THREE FAMILY DWELLINGS                  ,3,0,3,2500,3280,1930,C0,1,680000
7603,4,3659,GLENDALE,03 THREE FAMILY DWELLINGS                  ,3,0,3,2000,2133,1930,C0,1,667479
14557,2,3715,SOUNDVIEW,03 THREE FAMILY DWELLINGS                  ,3,0,3,2500,3520,1930,C0,1,540000
7802,2,3730,SOUNDVIEW,03 THREE FAMILY DWELLINGS                  ,3,0,3,2000,2400,1930,C0,1,490000
24760,2,3767,SOUNDVIEW,03 THREE FAMILY DWELLINGS                  ,3,0,3,4958,2180,1930,C0,1,495000
14257,2,3774,SOUNDVIEW,03 THREE FAMILY DWELLINGS                  ,3,0,3,2500,2544,1930,C0,1,380000
15720,4,3783,MIDDLE VILLAGE,03 THREE FAMILY DWELLINGS                  ,3,0,3,2600,2167,1930,C0,1,640500
19195,4,3789,MIDDLE VILLAGE,03 THREE FAMILY DWELLINGS                  ,3,0,3,3200,2440,1930,C0,1,935000
15452,2,3791,CASTLE HILL/UNIONPORT,03 THREE FAMILY DWELLINGS                  ,3,0,3,2575,2700,1930,C0,1,655000
14912,2,3793,CASTLE HILL/UNIONPORT,03 THREE FAMILY DWELLINGS                  ,3,0,3,2506,2836,1930,C0,1,289000
15221,2,3808,CASTLE HILL/UNIONPORT,03 THREE FAMILY DWELLINGS                  ,3,0,3,2549,2710,1930,C0,1,600000
1337,3,3821,EAST NEW YORK,03 THREE FAMILY DWELLINGS                  ,3,0,3,1438,3225,1930,C0,1,775000
8810,3,3838,EAST NEW YORK,03 THREE FAMILY DWELLINGS                  ,3,0,3,2021,2720,1930,C0,1,370000
16374,4,3863,GLENDALE,03 THREE FAMILY DWELLINGS                  ,3,0,3,2700,2520,1930,C0,1,810000
16375,4,3863,GLENDALE,03 THREE FAMILY DWELLINGS                  ,3,0,3,2700,2520,1930,C0,1,870000
14630,2,3876,SOUNDVIEW,03 THREE FAMILY DWELLINGS                  ,3,0,3,2500,3960,1930,C0,1,750000
15393,2,3937,PARKCHESTER,03 THREE FAMILY DWELLINGS                  ,3,0,3,2565,3780,1930,C0,1,450000
27029,4,4061,COLLEGE POINT,03 THREE FAMILY DWELLINGS                  ,3,0,3,7500,2370,1930,C0,1,1555677
4120,3,4079,EAST NEW YORK,03 THREE FAMILY DWELLINGS                  ,3,0,3,1800,1840,1930,C0,1,714400
17635,3,4237,EAST NEW YORK,03 THREE FAMILY DWELLINGS                  ,3,0,3,2950,4200,1930,C0,1,610950
12335,3,4316,EAST NEW YORK,03 THREE FAMILY DWELLINGS                  ,3,0,3,2433,2320,1930,C0,1,25000
22876,3,4331,EAST NEW YORK,03 THREE FAMILY DWELLINGS                  ,3,0,3,4000,2760,1930,C0,1,625000
19836,2,4570,BRONXDALE,03 THREE FAMILY DWELLINGS                  ,3,0,3,3421,2344,1930,C0,1,242100
14487,3,4629,FLATBUSH-NORTH,03 THREE FAMILY DWELLINGS                  ,3,0,3,2500,3270,1930,C0,1,750000
17027,2,4682,WILLIAMSBRIDGE,03 THREE FAMILY DWELLINGS                  ,3,0,3,2810,2400,1930,C0,1,380000
25783,2,4687,WILLIAMSBRIDGE,03 THREE FAMILY DWELLINGS                  ,3,0,3,5462,3690,1930,C0,1,695000
14089,2,4735,BAYCHESTER,03 THREE FAMILY DWELLINGS                  ,3,0,3,2500,2240,1930,C0,1,17241
8667,3,4818,FLATBUSH-NORTH,03 THREE FAMILY DWELLINGS                  ,3,0,3,2008,2720,1930,C0,1,499000
16234,2,4903,BAYCHESTER,03 THREE FAMILY DWELLINGS                  ,3,0,3,2685,2961,1930,C0,1,360000
15361,2,5005,WAKEFIELD,03 THREE FAMILY DWELLINGS                  ,3,0,3,2560,2692,1930,C0,1,615000
15217,3,5088,FLATBUSH-CENTRAL,03 THREE FAMILY DWELLINGS                  ,3,0,3,2548,3528,1930,C0,1,1700000
20610,2,5096,WAKEFIELD,03 THREE FAMILY DWELLINGS                  ,3,0,3,3751,2876,1930,C0,1,575000
27421,5,5153,GREAT KILLS,03 THREE FAMILY DWELLINGS                  ,3,0,3,8880,1800,1930,C0,1,578671
1150,3,5167,FLATBUSH-CENTRAL,03 THREE FAMILY DWELLINGS                  ,3,0,3,1380,1600,1930,C0,1,415000
15884,3,5192,FLATBUSH-CENTRAL,03 THREE FAMILY DWELLINGS                  ,3,0,3,2625,3600,1930,C0,1,900000
16369,3,5354,OCEAN PARKWAY-NORTH,03 THREE FAMILY DWELLINGS                  ,3,0,3,2700,2402,1930,C0,1,800000
15727,3,5354,OCEAN PARKWAY-NORTH,03 THREE FAMILY DWELLINGS                  ,3,0,3,2600,2351,1930,C0,1,1020000
14152,3,5354,OCEAN PARKWAY-NORTH,03 THREE FAMILY DWELLINGS                  ,3,0,3,2500,2351,1930,C0,1,1100000
23056,3,5379,BOROUGH PARK,03 THREE FAMILY DWELLINGS                  ,3,0,3,4007,2580,1930,C0,1,1600000
12761,2,5395,SCHUYLERVILLE/PELHAM BAY,03 THREE FAMILY DWELLINGS                  ,3,0,3,2498,2384,1930,C0,1,470000
15264,3,5521,BOROUGH PARK,03 THREE FAMILY DWELLINGS                  ,3,0,3,2550,2440,1930,C0,1,1400000
5297,3,5732,BOROUGH PARK,03 THREE FAMILY DWELLINGS                  ,3,0,3,1900,2988,1930,C0,1,935000
12227,2,5886,RIVERDALE,03 THREE FAMILY DWELLINGS                  ,3,0,3,2415,2096,1930,C0,1,740000
25940,3,5928,BAY RIDGE,03 THREE FAMILY DWELLINGS                  ,3,0,3,5640,4361,1930,C0,1,2150000
7700,3,6162,BENSONHURST,03 THREE FAMILY DWELLINGS                  ,3,0,3,2000,2254,1930,C0,1,1230000
15281,3,6176,DYKER HEIGHTS,03 THREE FAMILY DWELLINGS                  ,3,0,3,2550,3480,1930,C0,1,1400000
14976,3,6177,DYKER HEIGHTS,03 THREE FAMILY DWELLINGS                  ,3,0,3,2517,2320,1930,C0,1,1300000
22886,3,6189,DYKER HEIGHTS,03 THREE FAMILY DWELLINGS                  ,3,0,3,4000,2800,1930,C0,1,1350000
19652,4,6204,BAYSIDE,03 THREE FAMILY DWELLINGS                  ,3,0,3,3360,2640,1930,C0,1,1060000
15271,3,6205,BENSONHURST,03 THREE FAMILY DWELLINGS                  ,3,0,3,2550,2640,1930,C0,1,1550000
3962,3,6225,BENSONHURST,03 THREE FAMILY DWELLINGS                  ,3,0,3,1800,1448,1930,C0,1,988000
12687,3,6270,BENSONHURST,03 THREE FAMILY DWELLINGS                  ,3,0,3,2483,2016,1930,C0,1,1115000
15970,3,6283,BENSONHURST,03 THREE FAMILY DWELLINGS                  ,3,0,3,2642,2328,1930,C0,1,990000
18835,3,6296,BENSONHURST,03 THREE FAMILY DWELLINGS                  ,3,0,3,3100,3838,1930,C0,1,945000
24735,3,6372,BATH BEACH,03 THREE FAMILY DWELLINGS                  ,3,0,3,4947,3248,1930,C0,1,1600000
20935,3,6373,BATH BEACH,03 THREE FAMILY DWELLINGS                  ,3,0,3,3867,3627,1930,C0,1,1470000
20940,3,6373,BATH BEACH,03 THREE FAMILY DWELLINGS                  ,3,0,3,3870,3643,1930,C0,1,1400000
10853,3,6392,BATH BEACH,03 THREE FAMILY DWELLINGS                  ,3,0,3,2280,3240,1930,C0,1,600000
10570,3,6392,BATH BEACH,03 THREE FAMILY DWELLINGS                  ,3,0,3,2248,2970,1930,C0,1,930000
14188,3,6395,BATH BEACH,03 THREE FAMILY DWELLINGS                  ,3,0,3,2500,2400,1930,C0,1,1150000
5553,3,6460,BATH BEACH,03 THREE FAMILY DWELLINGS                  ,3,0,3,1933,3162,1930,C0,1,1218000
24108,3,6530,OCEAN PARKWAY-NORTH,03 THREE FAMILY DWELLINGS                  ,3,0,3,4500,3381,1930,C0,1,1450000
15886,3,6558,BOROUGH PARK,03 THREE FAMILY DWELLINGS                  ,3,0,3,2625,4347,1930,C0,1,1540300
16395,3,6567,OCEAN PARKWAY-NORTH,03 THREE FAMILY DWELLINGS                  ,3,0,3,2700,4158,1930,C0,1,1315000
22943,3,6572,OCEAN PARKWAY-NORTH,03 THREE FAMILY DWELLINGS                  ,3,0,3,4000,3233,1930,C0,1,1600000
14278,3,6598,GRAVESEND,03 THREE FAMILY DWELLINGS                  ,3,0,3,2500,2592,1930,C0,1,422500
14283,3,6632,GRAVESEND,03 THREE FAMILY DWELLINGS                  ,3,0,3,2500,2600,1930,C0,1,1250000
23250,3,6754,MIDWOOD,03 THREE FAMILY DWELLINGS                  ,3,0,3,4092,3129,1930,C0,1,1500000
15726,3,6834,MADISON,03 THREE FAMILY DWELLINGS                  ,3,0,3,2600,2349,1930,C0,1,855000
5554,3,6880,GRAVESEND,03 THREE FAMILY DWELLINGS                  ,3,0,3,1933,3245,1930,C0,1,1310000
11446,3,6915,GRAVESEND,03 THREE FAMILY DWELLINGS                  ,3,0,3,2352,2500,1930,C0,1,980000
5550,3,6915,GRAVESEND,03 THREE FAMILY DWELLINGS                  ,3,0,3,1933,2862,1930,C0,1,930000
5544,3,6916,GRAVESEND,03 THREE FAMILY DWELLINGS                  ,3,0,3,1933,2640,1930,C0,1,270000
11660,3,6995,CONEY ISLAND,03 THREE FAMILY DWELLINGS                  ,3,0,3,2375,2160,1930,C0,1,745000
11540,3,7021,CONEY ISLAND,03 THREE FAMILY DWELLINGS                  ,3,0,3,2375,616,1930,C0,1,325000
26786,3,7024,SEAGATE,03 THREE FAMILY DWELLINGS                  ,3,0,3,6800,2391,1930,C0,1,790000
25711,3,7024,SEAGATE,03 THREE FAMILY DWELLINGS                  ,3,0,3,5357,3762,1930,C0,1,1130000
8029,3,7095,GRAVESEND,03 THREE FAMILY DWELLINGS                  ,3,0,3,2000,2880,1930,C0,1,1180000
9229,3,7099,GRAVESEND,03 THREE FAMILY DWELLINGS                  ,3,0,3,2080,2820,1930,C0,1,1223000
11115,3,7117,GRAVESEND,03 THREE FAMILY DWELLINGS                  ,3,0,3,2300,2340,1930,C0,1,600000
15146,3,7128,OCEAN PARKWAY-SOUTH,03 THREE FAMILY DWELLINGS                  ,3,0,3,2533,2720,1930,C0,1,405700
4485,3,7170,GRAVESEND,03 THREE FAMILY DWELLINGS                  ,3,0,3,1825,2080,1930,C0,1,720000
13822,3,7245,BRIGHTON BEACH,03 THREE FAMILY DWELLINGS                  ,3,0,3,2500,1872,1930,C0,1,500000
17353,3,7262,BRIGHTON BEACH,03 THREE FAMILY DWELLINGS                  ,3,0,3,2888,1728,1930,C0,1,380000
23896,3,7315,MADISON,03 THREE FAMILY DWELLINGS                  ,3,0,3,4400,4000,1930,C0,1,1200000
3437,3,7332,MADISON,03 THREE FAMILY DWELLINGS                  ,3,0,3,1767,1785,1930,C0,1,910000
16979,3,7333,MADISON,03 THREE FAMILY DWELLINGS                  ,3,0,3,2800,3312,1930,C0,1,1000000
1156,3,7411,SHEEPSHEAD BAY,03 THREE FAMILY DWELLINGS                  ,3,0,3,1380,2580,1930,C0,1,867000
15549,3,7412,SHEEPSHEAD BAY,03 THREE FAMILY DWELLINGS                  ,3,0,3,2597,2850,1930,C0,1,400000
16139,3,7422,SHEEPSHEAD BAY,03 THREE FAMILY DWELLINGS                  ,3,0,3,2667,2596,1930,C0,1,1050000
16140,3,7422,SHEEPSHEAD BAY,03 THREE FAMILY DWELLINGS                  ,3,0,3,2667,2596,1930,C0,1,1030000
17546,3,8661,BRIGHTON BEACH,03 THREE FAMILY DWELLINGS                  ,3,0,3,2925,2480,1930,C0,1,1100000
4039,3,8662,BRIGHTON BEACH,03 THREE FAMILY DWELLINGS                  ,3,0,3,1800,1689,1930,C0,1,750000
25402,4,9105,OZONE PARK,03 THREE FAMILY DWELLINGS                  ,3,0,3,5042,2048,1930,C0,1,700000
17347,4,10333,SOUTH JAMAICA,03 THREE FAMILY DWELLINGS                  ,3,0,3,2883,1600,1930,C0,1,560000
17198,4,10839,HOLLIS,03 THREE FAMILY DWELLINGS                  ,3,0,3,2850,2493,1930,C0,1,705000
4570,4,14254,HOWARD BEACH,03 THREE FAMILY DWELLINGS                  ,3,0,3,1840,2280,1930,C0,1,210000
22551,4,16033,ARVERNE,03 THREE FAMILY DWELLINGS                  ,3,0,3,4000,2147,1930,C0,1,425000
18959,3,1128,PROSPECT HEIGHTS,07 RENTALS - WALKUP APARTMENTS             ,8,0,8,3135,7500,1930,C1,2,1900000
17475,3,1128,PROSPECT HEIGHTS,07 RENTALS - WALKUP APARTMENTS             ,8,0,8,2906,7152,1930,C1,2,2875000
12157,3,1149,CROWN HEIGHTS,07 RENTALS - WALKUP APARTMENTS             ,8,0,8,2400,4400,1930,C1,2,3100000
23028,4,1467,JACKSON HEIGHTS,07 RENTALS - WALKUP APARTMENTS             ,16,0,16,4000,12760,1930,C1,2,3600000
25417,1,1610,UPPER EAST SIDE (96-110),07 RENTALS - WALKUP APARTMENTS             ,32,0,32,5046,26100,1930,C1,2,1741816
5889,3,2000,BEDFORD STUYVESANT,07 RENTALS - WALKUP APARTMENTS             ,8,0,8,1967,4426,1930,C1,2,1700000
12160,3,2010,CLINTON HILL,07 RENTALS - WALKUP APARTMENTS             ,8,0,8,2400,6000,1930,C1,2,1650000
14771,3,2317,WILLIAMSBURG-NORTH,07 RENTALS - WALKUP APARTMENTS             ,10,0,10,2500,6250,1930,C1,2,5600000
8454,3,2691,GREENPOINT,07 RENTALS - WALKUP APARTMENTS             ,12,0,12,2000,7200,1930,C1,2,601500
14642,3,2917,WILLIAMSBURG-EAST,07 RENTALS - WALKUP APARTMENTS             ,10,0,10,2500,4050,1930,C1,2,4600000
19905,4,3460,RIDGEWOOD,07 RENTALS - WALKUP APARTMENTS             ,8,0,8,3458,5700,1930,C1,2,3700000
16583,4,3460,RIDGEWOOD,07 RENTALS - WALKUP APARTMENTS             ,7,0,7,2742,5600,1930,C1,2,900000
